Date,Open,High,Low,Close
2023-07-17,330.0,333.65,328.69,332.34
2023-07-18,332.52,336.44,325.76,329.67
2023-07-19,329.52,333.98,328.54,333.0
2023-07-20,333.27,340.1,326.66,333.49
2023-07-21,333.47,336.42,322.65,325.6
2023-07-24,324.54,332.57,323.0,331.04
2023-07-25,329.02,332.14,327.67,330.79
2023-07-26,331.48,335.54,330.24,334.3
2023-07-27,335.99,352.28,328.09,344.39
2023-07-28,343.08,349.84,339.36,346.12
2023-07-31,346.8,347.76,339.63,340.58
2023-08-01,339.76,344.15,332.83,337.22
2023-08-02,337.45,345.51,334.88,342.93
2023-08-03,344.12,344.38,335.16,335.42
2023-08-04,335.89,338.31,334.66,337.08
2023-08-07,336.76,341.77,334.35,339.35
2023-08-08,336.76,341.42,328.87,333.52
2023-08-09,333.24,339.33,328.59,334.68
2023-08-10,334.63,340.22,332.3,337.89
2023-08-11,339.51,344.87,328.71,334.07
2023-08-14,333.14,334.08,330.87,331.81
2023-08-15,331.66,335.51,331.08,334.93
2023-08-16,335.16,336.27,327.3,328.41
2023-08-17,330.01,334.39,319.77,324.15
2023-08-18,322.62,331.49,320.44,329.32
2023-08-21,330.36,332.1,328.29,330.02
2023-08-22,329.87,330.57,322.3,323.0
2023-08-23,322.12,326.02,319.41,323.31
2023-08-24,321.56,333.83,321.35,333.62
2023-08-25,332.32,335.3,323.04,326.02
2023-08-28,327.05,331.49,326.06,330.5
2023-08-29,329.8,334.74,329.8,334.73
2023-08-30,333.46,334.49,333.05,334.07
2023-08-31,333.51,338.19,332.85,337.54
2023-09-01,339.27,339.82,333.69,334.24
2023-09-04,335.51,344.46,333.79,342.74
2023-09-05,343.82,354.31,341.94,352.43
2023-09-06,353.76,356.09,345.52,347.86
2023-09-07,348.89,351.91,343.95,346.96
2023-09-08,346.39,349.66,344.68,347.96
2023-09-11,346.44,347.51,343.76,344.82
2023-09-12,346.47,347.45,346.05,347.02
2023-09-13,346.83,347.52,340.98,341.67
2023-09-14,341.82,345.5,341.38,345.06
2023-09-15,344.42,349.58,338.54,343.7
2023-09-18,344.37,349.63,338.46,343.71
2023-09-19,345.51,348.66,343.4,346.55
2023-09-20,345.98,353.09,344.81,351.92
2023-09-21,352.12,355.68,343.22,346.78
2023-09-22,346.86,355.41,342.85,351.4
2023-09-25,352.3,357.39,351.49,356.58
2023-09-26,356.56,361.78,351.0,356.22
2023-09-27,356.27,367.93,353.59,365.24
2023-09-28,364.39,364.99,360.55,361.16
2023-09-29,361.21,364.74,354.82,358.35
2023-10-02,357.34,361.4,356.75,360.8
2023-10-03,361.84,365.1,353.98,357.24
2023-10-04,357.06,366.07,356.44,365.45
2023-10-05,367.82,368.84,365.86,366.88
2023-10-06,365.92,380.06,363.12,377.25
2023-10-09,375.75,376.61,370.47,371.34
2023-10-10,372.67,374.79,364.0,366.12
2023-10-11,367.03,374.62,366.61,374.2
2023-10-12,372.21,374.2,366.37,368.36
2023-10-13,372.14,377.77,369.32,374.95
2023-10-16,374.71,376.59,368.63,370.51
2023-10-17,372.14,373.66,370.83,372.35
2023-10-18,371.79,382.14,369.21,379.56
2023-10-19,380.59,384.53,375.56,379.5
2023-10-20,381.16,381.34,372.83,373.01
2023-10-23,372.32,374.21,368.56,370.45
2023-10-24,370.97,379.13,369.3,377.45
2023-10-25,378.76,383.97,373.7,378.91
2023-10-26,381.98,384.7,380.74,383.47
2023-10-27,384.98,388.19,381.09,384.3
2023-10-30,386.45,389.52,383.29,386.37
2023-10-31,387.3,391.03,381.8,385.54
2023-11-01,386.64,387.31,379.07,379.74
2023-11-02,380.63,388.61,375.36,383.33
2023-11-03,383.08,389.42,378.42,384.76
2023-11-06,382.08,382.77,372.56,373.25
2023-11-07,370.86,374.44,370.03,373.61
2023-11-08,374.17,382.47,371.39,379.69
2023-11-09,380.46,394.07,378.15,391.76
2023-11-10,391.91,396.15,379.57,383.81
2023-11-13,382.98,386.03,381.77,384.83
2023-11-14,384.1,389.86,382.79,388.55
2023-11-15,386.65,398.07,382.14,393.55
2023-11-16,395.37,396.67,388.28,389.58
2023-11-17,387.05,395.69,384.43,393.07
2023-11-20,395.58,397.14,389.26,390.82
2023-11-21,390.15,394.3,386.73,390.88
2023-11-22,394.77,396.52,386.19,387.94
2023-11-23,388.67,391.45,387.37,390.15
2023-11-24,389.66,391.85,385.92,388.1
2023-11-27,388.27,391.68,386.88,390.29
2023-11-28,389.53,391.28,388.35,390.1
2023-11-29,392.4,400.42,388.08,396.1
2023-11-30,396.04,408.51,394.61,407.08
2023-12-01,407.43,408.1,406.26,406.93
2023-12-04,405.5,407.86,400.22,402.59
2023-12-05,403.47,407.13,397.81,401.48
2023-12-06,399.1,399.45,398.1,398.45
2023-12-07,397.36,401.99,383.88,388.51
2023-12-08,390.36,396.14,383.2,388.99
2023-12-11,385.79,390.12,381.99,386.32
2023-12-12,386.71,392.35,386.53,392.17
2023-12-13,393.92,398.87,386.76,391.71
2023-12-14,391.83,397.9,391.74,397.8
2023-12-15,400.03,404.66,398.35,402.98
2023-12-18,404.9,407.03,398.04,400.17
2023-12-19,400.88,401.98,397.33,398.43
2023-12-20,395.89,400.9,390.47,395.48
2023-12-21,394.68,395.96,391.7,392.98
2023-12-22,392.41,401.73,389.09,398.42
2023-12-25,399.9,406.95,388.44,395.49
2023-12-26,395.27,396.68,391.79,393.2
2023-12-27,392.65,393.67,387.53,388.55
2023-12-28,386.49,406.96,377.05,397.52
2023-12-29,397.08,397.72,394.93,395.56
2024-01-01,395.78,398.03,392.65,394.89
2024-01-02,390.99,391.56,389.26,389.83
2024-01-03,389.58,391.85,389.23,391.51
2024-01-04,391.92,394.55,384.33,386.96
2024-01-05,386.39,390.72,378.82,383.15
2024-01-08,382.75,384.05,369.97,371.27
2024-01-09,370.27,371.07,361.19,361.99
2024-01-10,363.08,363.85,362.48,363.25
2024-01-11,362.29,368.32,361.77,367.8
2024-01-12,369.33,370.09,357.71,358.46
2024-01-15,358.79,362.31,356.03,359.55
2024-01-16,356.71,362.86,354.62,360.78
2024-01-17,360.17,380.25,358.59,378.66
2024-01-18,378.89,379.0,372.85,372.96
2024-01-19,374.0,375.69,367.52,369.21
2024-01-22,369.19,369.58,362.92,363.31
2024-01-23,362.94,372.42,358.73,368.2
2024-01-24,369.18,375.57,368.09,374.47
2024-01-25,376.61,376.76,372.89,373.04
2024-01-26,370.24,382.26,370.19,382.21
2024-01-29,381.09,397.36,378.96,395.24
2024-01-30,397.66,401.78,388.41,392.53
2024-01-31,392.78,402.97,385.94,396.13
2024-02-01,394.43,395.16,394.38,395.11
2024-02-02,397.57,398.74,390.21,391.37
2024-02-05,394.22,395.9,387.03,388.72
2024-02-06,388.2,394.41,381.27,387.47
2024-02-07,388.45,391.32,377.04,379.91
2024-02-08,379.78,380.57,378.83,379.61
2024-02-09,379.99,386.42,378.2,384.63
2024-02-12,385.95,387.61,377.52,379.19
2024-02-13,378.64,380.92,374.03,376.31
2024-02-14,376.05,380.22,367.01,371.19
2024-02-15,370.59,375.72,368.51,373.64
2024-02-16,370.99,373.99,370.27,373.27
2024-02-19,373.78,380.96,371.84,379.02
2024-02-20,380.08,380.58,376.89,377.39
2024-02-21,377.46,379.77,366.69,369.0
2024-02-22,368.9,377.78,363.66,372.54
2024-02-23,373.55,375.63,368.96,371.04
2024-02-26,369.86,379.28,368.61,378.03
2024-02-27,376.3,383.82,375.06,382.58
2024-02-28,383.08,383.23,367.17,367.32
2024-02-29,367.37,371.64,352.04,356.32
2024-03-01,358.59,358.96,356.36,356.73
2024-03-04,354.59,358.82,348.53,352.76
2024-03-05,352.53,353.3,339.98,340.74
2024-03-06,338.96,339.14,337.93,338.1
2024-03-07,340.77,345.67,340.36,345.26
2024-03-08,344.56,349.82,343.7,348.96
2024-03-11,349.85,350.01,344.19,344.35
2024-03-12,341.22,346.38,340.97,346.13
2024-03-13,344.68,354.07,342.53,351.92
2024-03-14,352.82,353.7,350.25,351.13
2024-03-15,350.42,361.82,349.91,361.31
2024-03-18,360.29,360.57,357.25,357.53
2024-03-19,358.33,376.56,351.58,369.82
2024-03-20,369.84,380.62,368.33,379.12
2024-03-21,379.15,386.67,374.97,382.49
2024-03-22,382.73,384.99,381.84,384.11
2024-03-25,383.23,390.33,377.47,384.57
