Date,Open,High,Low,Close
2023-07-17,25.0,25.55,23.21,23.76
2023-07-18,23.7,23.87,22.58,22.74
2023-07-19,22.56,23.03,21.21,21.69
2023-07-20,21.15,21.5,20.88,21.22
2023-07-21,21.01,23.03,20.43,22.45
2023-07-24,22.24,22.78,20.63,21.17
2023-07-25,21.35,23.49,19.83,21.98
2023-07-26,22.11,23.45,21.75,23.1
2023-07-27,22.79,23.72,21.91,22.83
2023-07-28,22.94,23.1,22.11,22.27
2023-07-31,22.12,22.77,22.06,22.71
2023-08-01,23.09,23.88,23.03,23.82
2023-08-02,24.14,26.16,23.87,25.89
2023-08-03,26.04,26.85,26.02,26.83
2023-08-04,26.71,29.8,25.45,28.54
2023-08-07,29.01,29.14,27.98,28.11
2023-08-08,28.33,28.92,26.66,27.25
2023-08-09,27.54,28.07,25.04,25.58
2023-08-10,25.7,25.7,24.53,24.53
2023-08-11,24.46,24.51,24.19,24.24
2023-08-14,24.42,24.87,24.0,24.46
2023-08-15,24.27,24.71,22.87,23.32
2023-08-16,23.49,24.59,22.99,24.09
2023-08-17,24.13,24.52,23.65,24.04
2023-08-18,23.66,23.9,23.27,23.5
2023-08-21,23.61,23.83,22.65,22.87
2023-08-22,22.86,24.86,22.73,24.73
2023-08-23,24.64,25.36,24.22,24.94
2023-08-24,24.92,25.54,23.53,24.15
2023-08-25,24.33,24.96,22.7,23.34
2023-08-28,23.08,25.27,22.87,25.06
2023-08-29,24.8,25.17,24.19,24.56
2023-08-30,24.73,26.28,24.19,25.73
2023-08-31,25.78,27.41,25.57,27.21
2023-09-01,26.76,27.32,24.4,24.96
2023-09-04,24.98,26.67,24.63,26.32
2023-09-05,25.89,26.62,25.43,26.16
2023-09-06,26.32,26.59,24.88,25.15
2023-09-07,25.21,25.96,23.94,24.68
2023-09-08,24.79,25.62,24.43,25.26
2023-09-11,24.88,26.15,24.4,25.66
2023-09-12,25.46,26.37,25.22,26.13
2023-09-13,26.33,26.86,24.93,25.47
2023-09-14,25.11,27.06,24.83,26.77
2023-09-15,26.89,28.93,26.35,28.39
2023-09-18,28.31,31.39,27.41,30.48
2023-09-19,30.5,31.83,30.38,31.71
2023-09-20,31.44,34.47,31.1,34.13
2023-09-21,34.3,37.96,33.35,37.0
2023-09-22,37.12,38.2,36.99,38.07
2023-09-25,38.35,40.7,37.08,39.43
2023-09-26,40.34,41.46,39.26,40.38
2023-09-27,40.27,42.4,39.17,41.3
